ID,Answer
0,長劍
1,《諸羅縣志》
2,袁晁率起義軍
3,柏林陸軍學院
4,長盤勝負
5,聶耳
6,1889年
7,西漢的版圖向西擴張
8,巴黎
9,有所更改
10,周星馳
11,秀吉
12,旅客造成相當程度的困擾，在無障礙環境
13,預測
14,2007年
15,硫-34
16,青壯派反共份子如休伯特•漢弗萊
17,
18,經濟
19,7920公里/小時
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1910年代
25,外交活動，拜占庭政府中的蠻族事務局，可以說是史上第一個處理外交事務的中央單位，藉由收集帝國內部民族的重要消息來提供正確的外交決策判斷
26,拉丁文[UNK]
27,猶太門徒
28,1964年
29,
30,文化大革命
31,《名人傳》
32,灣仔區
33,振州
34,約翰·布蘭豪
35,1964年
36,新北市
37,小白宮
38,不能說有保障
39,南人
40,南宋
41,
42,2倍
43,1070年
44,社會保障法規
45,第一教學樓
46,1929年
47,郵票
48,1932年
49,[UNK]商場
50,廣選妃嬪
51,武大舉行了110周年校慶
52,長年
53,刺殺
54,希臘
55,基督教
56,阿爾法版本
57,100萬
58,新北市
59,中文網
60,王太子
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,遣使如漢」。與此同時，高句麗對樂浪郡、玄菟郡和遼東多次發動攻勢，意圖完全擺脫漢朝的控制
66,
67,
68,前蘇聯[UNK]-15
69,弘治十二年
70,中國
71,2010年成功上市。截至2016年
72,美國
73,氦
74,麻六甲和日本
75,用地
76,大樓的朴吉龍和設計高麗大學校主樓
77,他
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,[UNK]公
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳
92,瓦解
93,大躍進運動
94,武漢水利電力大學
95,荷蘭語
96,1934年
97,檸檬酸咖啡因治療。使用檸檬酸咖啡因療法
98,1876年，在英國攻讀法律，他以熱心的英國自由黨人身份返回印度並加入國大黨，1913年
99,1949年
100,大象
101,1915年
102,1000年至1600年
103,根據
104,
105,芝諾比亞
106,李[UNK]率
107,43
108,佛學論書
109,農林學院
110,歐登堡
111,三天
112,1944年
113,曼努埃爾二世
114,巴夏禮
115,哈林河
116,孟加拉
117,尹伊桑
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,秘書長
122,伊斯蘭王國
123,雷家驥
124,安原王繼位
125,未標準化
126,四百公尺
127,1939年
128,兵力應付俄國
129,福建林家
130,用來運貨
131,民主黨
132,西人黨
133,2013年
134,歐亞
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,全
139,1939年
140,高速攝影
141,點石齋畫報
142,南越
143,1988年
144,上吊方式
145,麥高文
146,水鐘
147,
148,阿拉里克
149,德蘇戰爭
150,閏盤
151,月份
152,1949年
153,蘇聯政府拒絕干涉這一事件。這場革命結束了統一社會黨專制
154,清光緒十七年
155,康氏鯨龍與短體鯨龍之間有足夠的不同處，足以成立個別的屬。曼特爾最初打算將牠們命名為[UNK]
156,持續政治與社會上的強勢控制
157,六個月
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年初
162,63位
163,姓
164,古希臘時代
165,斯瓦希里語也是盧安達人廣泛使用的語言，特別是在農村地區。此外，生活在寇伯島上的居民會說一種名為「[UNK]
166,填海得來
167,汪兆銘
168,農業
169,[UNK]
170,1870年8月2日
171,1999年
172,《天淨沙》
173,美國更推出外型與突擊步槍相似、採用可拆式彈匣的全自動霰彈槍[UNK]-12自動霰彈槍，其後
174,公元68年
175,趙佗
176,
177,岑智明
178,法國發動，最後以普魯士大獲全勝
179,1610年1月7日
180,強力政府
181,28歲
182,1978年，改設晉中地區行政公署。1983年，榆次市縣合併，成立新的縣級榆次市。1992年，介休縣改為縣級介休市。2000年10月
183,保加利亞
184,三大優點
185,10度
186,日本社會黨
187,蘇聯
188,波士頓
189,1992年
190,持球手反手擊球，控制的範圍大，便於偽裝放小球
191,屯田兵制度
192,明朝
193,文藝復興
194,2000年
195,1998年
196,南中國珠江中游的聚落地帶，另有考古發現在約西元前8200年前的中國湖南
197,德
198,航運
199,阿森納女子足球俱樂部
200,一黨優勢制
201,居民
202,1920年
203,美元有正式
204,多倫多
205,軌道上驅動列車
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,連續函式
210,百濟
211,國王亞歷山大一世
212,威尼斯影展
213,真空帶
214,新北市
215,聯盟合作
216,甲午戰爭
217,克孜勒
218,三分天災
219,好在歷史是人民寫
220,美觀
221,駐廠商多與興大相關系所合作，是台灣機械產業的創新園區
222,西部
223,1982年
224,1449年
225,統治者頭銜，為部落最高領袖或皇帝
226,斯洛伐克境內
227,
228,
229,2006年
230,沒有
231,中國衛生部對規範器官移植、禁止人體器官買賣制定了新規定，並於同年7月1日正式實施；2007年4月6日，中國國務院公布了《人體器官移植條例》
232,元世祖在與阿里不哥作戰與整頓國內之際，因為無暇對付南宋，於是派郝經對南宋提出高壓的議和內容。當時南宋的宋恭帝僅五歲，由謝太后垂簾聽政，大權由謊稱擊退蒙古軍的賈似道掌握。由於賈似道畏懼謊言被擊破而幽禁郝經。南宋並於1262年
233,澎湖
234,三倍
235,自身的重力繼續向內坍縮
236,颱風
237,2014年
238,1968年
239,2915.7億美元，外匯儲量世界第六
240,學業壓力
241,彭水
242,現代化建築
243,阿美族
244,黑死病
245,2007年
246,
247,同性戀
248,2001年
249,波士頓塞爾提克隊
250,溥[UNK]
251,軍事家
252,決勝局必定是單數局
253,廣東省政府委員會
254,韓國遊戲
255,1951年
256,拉丁字母為基礎的拼音方案，是為漢語拼音方案
257,1984年
258,天橋上的車站
259,下薩克森邦
260,
261,商業及人均[UNK]都不如東南亞的大城市，所以此時南洋的福建人
262,全勝紀錄
263,利用小型雷達測距儀追蹤目標的距離
264,哥白尼日心說
265,缺氧
266,雍正年間皇帝
267,明朝
268,1848年
269,1954年，中華民國政府與美國簽訂《中美共同防禦條約》。到1971年
270,
271,共同民主黨
272,《南華早報》
273,酸性
274,佛像
275,阿聯
276,交通基建
277,62支，1942年1月1日下降到6支，但到1943年2月上升到34支，1944年新年時上升到161支。前線步兵師
278,福松
279,天狼星在東方地平線
280,自律心肌細胞
281,1985年
282,德語地區
283,女神大橋
284,1237年
285,帝國
286,劉裕入
287,奧地利
288,美國律師協會
289,1654年
290,清代
291,美川王
292,梁啟超
293,日本
294,1998年1月1日
295,太陽
296,孟懷玉
297,鈣離子
298,
299,羅納爾迪尼奧
300,秦軍對峙[UNK]水
301,火山活動
302,君士坦丁·波菲洛格尼圖斯
303,拉丁字母
304,提升飛機的飛行安全
305,丁基羥基甲苯
306,軍事圍剿
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,外國家
314,446種
315,曹魏故都智慧之旅
316,威廉港
317,布爾什維克革命
318,民主黨
319,邊沁的效益主義思想，指出倫理學領域的終極問題解決完全可訴諸效益主義原則，綜合前人理論彌爾
320,紅色、藍色或綠色的視錐細胞
321,1928年
322,現貨
323,十多個
324,300美元
325,郭松齡倒戈反奉後，奉系情況危急，張壓力過大借毒排愁，因此漸漸吸毒成癮。1928年夏，張決心戒掉鴉片，聽了楊宇霆
326,潘錫元
327,元世祖
328,匿蹤性能較佳：全行程
329,數學
330,亞熱帶季風氣候
331,家庭以及什麼原因都是自殺動機?[SEP]日本警察廳公布自殺統計顯示，2000年後已經連續14年有超過3萬人自殺。2009年日本全國自殺人數暫定值32753人中，男性為23406人，女性為9347人，比2008年再增504人。從月份
